,id,full_nr,name,ks,material,commentary,event_type,location,start,end,before_Christ,country_and_unit,participants_role,participant,parish,text,class,technique,parameter,unit,value,museum_abbr,musealia_mark,musealia_seria_nr,musealia_queue_nr,musealia_additional_nr,collection_mark,collection_queue_nr,collection_additional_nr,element_count,legend,is_original,initial_info,damages,state,color,additional_text,type
3880,2742139,,,,,,,,,,,,,,,,,,,,,AM,,,,,N,,,1.0,,1.0,,,good,,,photo negative
3881,2745539,AM N 2464,Captain Rudolf Oja 925th Rifle Regiment's assistant chief of staff in the rear area.,2464.0,movie,,portraiture,,,,,,,,,,,black and white photography,negative format,24 x 36 mm,1,AM,,,,,N,,,1.0,,1.0,,,good,,,photo negative
3882,3846586,AM _ 13672:243 G 5696,Portrait of Ernst Styx,5696.0,paper,,portrait of a man,,,,,,the author,"Krause, Wilhelm",,,,lithography,height,cm,"15,7",AM,_,13672.0,243.0,,G,,,1.0,,1.0,,yellowed,satisfactory,,,graphics
3883,2748736,AM N 4596,A rally organized on the occasion of the liberation of Tallinn at Kadrioru Stadium.,4596.0,silver gelatin emulsion,,military and defense,,1944,,ei,"Tallinn, Estonia",the author,"Lukin, E.",,,,black and white photography,negative format,24 x 36 mm,1,AM,,,,,N,,,1.0,,1.0,,,good,,,photo negative
3884,3335541,,,,,,theater,,1994,,ei,,liaison organization,VAT Teater,,,,,,,,ETMM,_,12779.0,119.0,,Df,,,1.0,photos obtained from VAT Theatre,1.0,,,good,,,digital image
3885,2078805,AM N 5631:429,Nasrva road (above the children's hospital),5631.0,photographic material>emulsion>silver gelatin emulsion,,taking pictures,,1900,1910,,"Tallinn, Estonia",,,,,,photography>black and white photography,width,cm,15,AM,,,,,N,429.0,,1.0,,1.0,,,good,,,photo negative
3886,3866946,AM _ 13670:108/a G 5259,Caricature (Karrikaturen auf Dorpater Persönlichkeiten von A. Wojeikov),5259.0,paper,in print,preparation,,,,,,the author,"Schulz, Carl",,,,lithography,height,cm,"22,7",AM,_,13670.0,108.0,a,G,,,1.0,,1.0,,"soiled, with creases, tears",good,,,graphics
3887,2044229,,,,,,,,,,,,,,,,,,,,,AM,,,,,F,22.0,,1.0,,,,,good,,,photo
3888,3603336,ETMM _ 9649 T 11:2/4:40,Costume design for Ethel from the Estonian Theater production Rose-Marie,11.0,paper,,theater performances,the city of Tallinn,1950,,ei,Estonia,the author,"Roosa, Lembit",,,,mixed media,height,cm,21,ETMM,_,9649.0,,,T,2.0,04:40,1.0,,1.0,,,good,,,design/drawing/sketch
3889,2814690,,,,,,,,,,,,,,,,,,,,,AM,,,,,N,2.0,,1.0,,1.0,,,good,,,photo negative
3890,2336270,AM _ 34375 A 942:39,Värtnakedra ktk,942.0,stone,,,,,,,,,,,,,,,,,AM,_,34375.0,,,A,39.0,,1.0,Archaeological excavation findings May-June 2000,,,,good,,,archaeological find
3891,1550284,AM _ 13738:255/039 P 39,Seal of Narva Historical Research Society,39.0,organic matter,Polish,preparation,,1801,1900,ei,,,,,,,,diameter,cm,"3,9",AM,_,13738.0,255.0,39,P,,,1.0,Taught from the collection of the Estonian Society,1.0,,cracked,satisfactory,,Narvsche Alterthums - Gesellschaft,there/imprint
3892,3166527,ETMM _ 5407 T 7:959/Ar,Сочинения,7.0,paper,,playwriting,,,,,,the author,"Vega, Lope de",,,,printing,volume of the book,lk,128,ETMM,_,5407.0,,,T,959.0,Ar,1.0,,1.0,,,satisfactory,,Government of the Arts,book
3893,4167842,ETMM _ 9815 M 347:2/136:2,"Suite ""Three ancient sayings"" for male choir a cappella",347.0,paper,,composing,,1967,,ei,,the author,"Vettik, Tuudur",,,,handwriting,,,,ETMM,_,9815.0,,,M,2.0,136:02:00,1.0,,1.0,,,satisfactory,,,"script, song/vocal music"
3894,3535920,,,,,,theater,,2016,,ei,,liaison organization,Kanuti Gildi SAAL,,,,,document volume,leht,18,ETMM,_,12878.0,17.0,,T,1.0,02:01,1.0,"Game plans with introductions of Kanut Gild SAAL T747 productions, which serve as program sheets.",1.0,T747:1/2:1,,good,,,plan
3895,2734937,,,,,,,,,,,,,,,,,,,,,AM,,,,,F,1.0,,1.0,,1.0,,,good,,,photo
3896,2567262,,,,,,singing parties,,28.06.1947,29.06.1947,ei,"Tallinn, Estonia",,,,,,,,,,ETMM,_,8860.0,,,Mo,1.0,40:01:00,1.0,,1.0,,,good,,,document
3897,2041169,AM F 30827,A view of the rest room of the Blackheads club,30827.0,photo material>photo paper>silver gelatin paper,,taking pictures,,1930,,,"Tallinn, Estonia",,,,,,photography>black and white photography,page height,cm,"16,6",AM,,,,,F,,,1.0,,0.0,,,good,,Transferred by: Sirje Annist (AM),photo
3898,1905750,,,,,,taking pictures,,,,ei,,imagined,"Mesikäpp, Laine",,Photo: portrait: Laine Mesikäp,name on the source document,,,,,ETMM,_,12542.0,958.0,,T,2.0,01:18,1.0,"Documents and objects of Laine Mesikäpa, costume donated by her niece 2011 -2012",1.0,,,good,,document image block,photo
3899,228455,ETMM _ 12085:8 T 626:2/4:1,"Costume design for the character Barbara Juliane von Krüdener in the play The Saint. Kauksi Ülle, S. Kivisilnik, Vanemuine 2001",626.0,paper,,theater performances,,2001,,ei,,author of the text,"Kauksi, Ülle",,,,chalk,,,,ETMM,_,12085.0,8.0,,T,2.0,04:01,1.0,,1.0,"Kauksi Ülle, Sven Kivisildnik, 8.09.2001 Vanemuine, director Ain Mäeots, artist Liina Unt, ink pencil, chalk, watercolor; Brabara Juliane von Krüdener (Merle Jääger)",,good,multicolored,"Kauksi Ülle, Sven Kivisildnik, 8.09.2001 Vanemuine, director Ain Mäeots, artist Liina Unt, ink pencil, chalk, watercolor; Brabara Juliane von Krüdener (Merle Jääger)",design/drawing/sketch
3900,400682,,,,,,funeral,,,,,,,,,,,,page height,cm,6,AM,,,,,F,,,1.0,These are family pictures of Helle Avila.,1.0,,,good,golden,Transferred by: Helle Avila (AM),photo
3901,4291220,ETMM _ Fk 49987/r,"in the picture: Bassoon, company G. Lange, St. Petersburg, late 19th century",49987.0,photographic material,,music,,1971,,ei,,liaison organization,Eesti Teatri- ja Muusikamuuseum,,,,,film frame,60 x 60 mm,1,ETMM,_,,,,Fk,,r,1.0,,1.0,TB200222,,good,,,photo negative
3902,3313615,ETMM _ 5477 T 10:281/Ar,Wastu wett,10.0,paper,,playwriting,,,,,,the author,"Rajasaare, Kristjan",,,,printing,volume of the book,lk,67,ETMM,_,5477.0,,,T,281.0,Ar,1.0,,1.0,,,satisfactory,,"ESTONIAN SOCIETY ""ESTONIA"" THEATER LIBRARY
 No. 147",book
3903,2811127,,,,,,,,,,,,,,,,,,,,,AM,,,,,N,,,1.0,,0.0,,,good,,,photo negative
3904,3542840,ETMM _ 5429 T 10:4/5:1,Reet Aarma's photo,10.0,photo paper,,theater,,,,,Estonia,actor,"Aarma, Reet",,,,black and white photography,height,cm,33.5,ETMM,_,5429.0,,,T,4.0,05:01,1.0,,1.0,,,good,,,photo
3905,2035048,AM _ 8521:1 F 10224:2,"Tallinn, Old Town, Vene street. Medieval residence (ruined)",10224.0,silver gelatin paper,,taking pictures,,1914,,ei,,the author,"Teterin, Ivan",,,,black and white photography,width,cm,"25,5",AM,_,8521.0,1.0,,F,2.0,,1.0,,1.0,,corners broken,good,,"Photographer I. Teterin, time of death 1914",photo
3906,2019032,,,,,,word plays,,2011,,ei,,liaison organization,Vene Teater,,"Plan: Hello, Euroleague! Russian Theater, 2011",name on the source document,,document volume,leht,2,ETMM,_,12569.0,247.0,,T,2.0,119:07:00,1.0,,,,,good,,,plan
3907,2363125,,,,,,,,,,,,,,,,,,,,,ETMM,_,8563.0,,,T,1.0,196:07:00,1.0,,1.0,,"glue damage, soiled",satisfactory,,,a letter
3908,4031595,,,,,,making music and singing,,,,,Estonia,actor,"Pinna, Paul",,,,,diameter,cm,25,ETMM,_,7779.0,,,Hp,,,1.0,,1.0,,worn out,satisfactory,,"A: Oh, Tallinn is the most expensive; two-step
B: Honey Aadu, leave lora, polka",audio recording
3909,3877114,ETMM _ 1576 M 2:1026/Ar,Railways of the Czechoslovak states,2.0,paper,,rail transport,,,,,,,,,,,printing,volume of the book,lk,34,ETMM,_,1576.0,,,M,1026.0,Ar,1.0,,1.0,,,satisfactory,,,book
3910,2720146,ETMM _ 11767:86/2 Af 2040:117/T,"Poster, EXIT. Vanemuine, 1998",2040.0,paper,,theater performances,,,,,"Tartu, Estonia",liaison organization,Teater Vanemuine,,,,printing,,,,ETMM,_,11767.0,86.0,2,Af,117.0,T,1.0,received from the annual theater,1.0,ballet performance; 14.02.1998,,good,,ballet performance; 14.02.1998,poster
3911,2485487,AM _ 3669:28 F 3766:28,"Series: ""Photos from the Estonian SSR from various walks of life"". A rally.",3766.0,photo paper,,meeting,,,,,Estonia,photographer,"Soosaar, Hans",,,,,page height,cm,"11,4",AM,_,3669.0,28.0,,F,28.0,,1.0,,1.0,,,good,,,photo
3912,2964547,ETMM _ 10394 T 17:2/14:64,Costume design for the girl's play My Friend at Bunbury Theater Estonia,17.0,paper,,musicals,,1970,,ei,"Tallinn, Estonia",liaison organization,Teater Estonia,,,,pen,,,,ETMM,_,10394.0,,,T,2.0,0.627777778,1.0,,1.0,,,satisfactory,,a woman in a purple ruffled dress with a feather headdress,design/drawing/sketch
3913,2800974,,,,,,puppet theater,,2012,,ei,"Tallinn, Estonia",liaison organization,SA NUKU,,,,,document volume,leht,2,ETMM,_,12652.0,3.0,,T,1.0,72:03:00,1.0,NUKU schedule sheets for 2012 and 2013. Schedules handed over by theaters every year.,1.0,,,good,,,plan
3914,3082230,ETMM _ 7522 T 125:191/Ar,Plays,125.0,paper,,playwriting,,1945,,ei,,the author,"Leonov, Leonid",,,,printing,volume of the book,lk,320,ETMM,_,7522.0,,,T,191.0,Ar,1.0,,1.0,,,good,,,book
3915,2700591,,,,,,,,,,,,,,,,,,,,,ETMM,_,7110.0,,,M,1.0,32:19:00,1.0,,1.0,,,good,,,a letter
3916,3437375,,,,,,documentation,,1941,1942,ei,,liaison organization,Estonia Muusika Osakond,,,,,document volume,leht,1,ETMM,_,8630.0,,,Mo,1.0,05:12,1.0,,1.0,,,satisfactory,,,document
3917,4206945,,,,,,,,,,,,,,,,,,,,,ETMM,_,8709.0,,,Af,3.0,M,1.0,,1.0,,,good,,,poster
3918,3538806,,,,,,,,,,,,,,,,,,,,,ETMM,_,6506.0,,,T,1.0,14:17,1.0,,1.0,,,unspecified,,,photo
3919,2100293,,,,,,,,,,,,,,,,,,,,,ETMM,_,5475.0,,,T,1.0,30:99,1.0,,1.0,,,good,,,plan
3920,2607627,,,,,,singing parties,,20.07.1985,21.07.1985,ei,"Tallinn, Estonia",,,,,,,,,,ETMM,_,10268.0,,,Mo,1.0,88:08:00,1.0,,1.0,,,good,,,photo
3921,2043289,AM F 5514:86,Portrait: Franz Emil Hackmann,5514.0,cardboard,,,,,,,,,,,,,photography>black and white photography,height,cm,10,AM,,,,,F,86.0,,1.0,,1.0,,,good,,Visit format,photo
3922,4301659,,,,,,,,,,,,,,,,,,document volume,lk,12,ETMM,_,7315.0,,,T,1.0,13:26,1.0,,1.0,,,good,,,in small print
3923,4229227,,,,,,,,,,,,,,,,,,,,,ETMM,_,8540.0,,,Af,30.0,M,1.0,,1.0,,,satisfactory,,,poster
3924,2697639,,,,,,collection activities of the museum,,,,,,,,,,,,,,,AM,_,14267.0,24.0,,F,24.0,,1.0,,1.0,,,good,,,photo
3925,2797718,,,,,,,,,,,,,,,,,,,,,AM,,,,,N,,,1.0,,0.0,,,good,,,photo negative
3926,2064140,,,,,,,,,,,,,,,,,,,,,AM,,,,,F,40.0,,1.0,,,,,good,,,photo
3927,2320502,AM _ 22713 A 491:109,A knife,491.0,iron,,,,,,,,,,,,,,,,,AM,_,22713.0,,,A,109.0,,1.0,Died by M. Mandel 1976-80.,,,,satisfactory,,,archaeological find
3928,2351817,AM _ 33497 M 1747,Medal,1747.0,copper,,preparation,,1947,,,Estonia,,,,,,,diameter,mm,40,AM,_,33497.0,,,M,,,1.0,,,,,good,,Eesti a/ü Spartakiad,medal
3929,2067391,,,,,,,,,,,,,,,,,,,,,AM,,,,,F,29.0,,1.0,,,,,good,,,photo
3930,2832547,,,,,,,,,,,,,,,,,,,,,AM,,,,,N,3.0,,1.0,,1.0,,,good,,,photo negative
3931,3082256,ETMM _ 7378 M 14:1/127:5,"Program, Karl Leinus, Mixed Choir Sõprus",14.0,paper,,culture,,25.04.1965,,ei,,,,,,,,,,,ETMM,_,7378.0,,,M,1.0,127:05:00,1.0,,1.0,,,satisfactory,,,plan
3932,3152887,AM _ 13738:262/30 P 2177,De Richard - German nobleman - seal with autograph,2177.0,organic matter,Polish,preparation,,1701,1800,ei,,,,,,,,diameter,cm,"2,4",AM,_,13738.0,262.0,30,P,,,1.0,Taught from the collection of the Estonian Society,1.0,,Cracked,satisfactory,,,there/imprint
3933,3580114,,,,,,theater,,1929,,ei,,contact person,"Bernauer, Rudolf",,,,typing,document volume,leht,1,ETMM,_,5429.0,,,T,1.0,22:32,1.0,,1.0,,,good,,"""Revaler Bote"". 7.XII.1929. Wgh. In German.",document
3934,2511643,AM _ 25159:398 M,a denarius,,silver,,preparation,country Germany,983,1096,,,the issuer,Otto III,,,,,weight,g,"1,08",AM,_,25159.0,398.0,,M,,,1.0,,,coin hoards,,unspecified,,"Dbg. 1475; Albrecht 1959, S. 40",coin
3935,3938020,AM _ R- 2151,Common songs I.,2151.0,paper,,culture,,,,,Estonia,,,,,,printing,height,cm,"17,5",AM,_,,,,R-,,,1.0,,1.0,,"stained, dirty",satisfactory,,"The publication is paperback, with cardboard covers. Published in Tallinn by RK ""Poliitiline Kirjandus"" in 1940. 32 pages. Illustrated. Printed trk. ""Cohabitation""",book
3936,2842968,,,,,,theater,the city of Tallinn,1922,,ei,Estonia,liaison organization,Teater Estonia,,,,photography>black and white photography,height,cm,"13,5",ETMM,_,5429.0,,,T,3.0,113:08:00,1.0,,1.0,,,good,,,photo
3937,2045699,AM _ 12853:20 F 11687:20,"Tallinn Old Town, Suur-Karja street, Karjavärava square",11687.0,photo material>photo paper>silver gelatin paper,,taking pictures,,,,ei,Estonia,the author,"Akel, Karl",,,,photography>black and white photography,page height,cm,"8,5",AM,_,12853.0,20.0,,F,20.0,,1.0,,,,,good,,1259,photo
3938,2076099,AM N 5645:6,a.) Interior views of the Petzer church; b.) Holy stone cross in Petzer church,5645.0,photographic material>emulsion>silver gelatin emulsion,,taking pictures,"unspecified Pihvkva region, Petseri (Setumaa)",1900,1910,,Russian,,,,,,photography>black and white photography,width,cm,15,AM,,,,,N,6.0,,1.0,,0.0,,,unspecified,,,photo negative
3939,3628948,ETMM _ 7017 Fk 30725/r,"Näkineid, Teater Estonia, 1949, in roles: Olga - Vera Neelus, Vürstinna - Galina Kaljuste",30725.0,movie,,theater,,1949,,ei,,liaison organization,Rahvusooper Estonia,,,,black and white photography,negative format,60 x 60 mm,1,ETMM,_,7017.0,,,Fk,,r,1.0,,1.0,,,satisfactory,,,photo negative
3940,2625232,,,,,,,,,,,,,,,,,,,,,AM,_,8903.0,268.0,,F,,,1.0,,1.0,,,good,,,photo
3941,2963312,ETMM _ 5977 T 26:2/7:3,Set design for a musical comedy in Rummu Jüri Theater Estonia,26.0,paper,,musicals,,1955,,ei,"Tallinn, Estonia",composer,"Arro, Edgar",,,,tempera,width,cm,59,ETMM,_,5977.0,,,T,2.0,07:03,1.0,,1.0,,,good,,Image of Act IV 4,design/drawing/sketch
3942,3697516,AM _ 21755 TE 1210,Line,1210.0,linen,,interior textiles,,,,,,,,,,,rishel casting heel,length,cm,125,AM,_,21755.0,,,TE,,,1.0,,1.0,,,good,,"1991-1998 on display, Estonian History Museum, Maarjamäe Castle",sheet/linen
3943,2037826,,,,,,taking pictures,,1965,1967,,,,,,,,,height,cm,24,AM,,,,,F,,1-264,1.0,,1.0,,,good,,Monika Jõesalu (chief treasurer of Järvamaa Museum).,album
3944,3056861,,,,,,ballet,,08.06.1975,,ei,"Tartu, Estonia",liaison organization,Teater Vanemuine,,,,,height,cm,59.5,ETMM,_,9318.0,,,Af,66.0,T,1.0,,1.0,,,good,,,poster
3945,3949211,ETMM _ 6212 M 11:2/318:1,"Manuscript, Greek, Cyrillus-Bach-2 fugue from HTK collection, with transcript and analysis",11.0,paper,,composing,,,,,,the author,"Kreek, Cyrillus",,,,,,,,ETMM,_,6212.0,,,M,2.0,318:01:00,1.0,,1.0,,,satisfactory,,,manuscript
3946,3431867,,,,,,,,,,,,,,,,,,,,,AM,,,,,F,19.0,,1.0,Items handed over by the liquidation commission of the Museum of Economic History - photo albums.,1.0,,,good,,,photo
3947,2068049,,,,,,,,,,,,,,,,,,,,,AM,,,,,F,219.0,,1.0,,,,,good,,,photo
3948,4300426,AM N 7040:1,Photocopy of the work of the architectural competition of Tallinn Technical University.,7040.0,photographic material>emulsion>silver gelatin emulsion,,,,,,,,,,,,,photography>black and white photography,height,cm,12,AM,,,,,N,1.0,,1.0,,1.0,,,good,,,photo negative
3949,4120148,AM _ 41223:22 M,dirham,,silver,,preparation,the city of Ma´din,932,933,ei,Arabic,,,,,,,diameter,mm,29,AM,_,41223.0,22.0,,M,,,1.0,"Mündiaare, found in Tartu County, Peipsiääre municipality, Pusi village in 2010. MKA Archaeological findings
transfer-acceptance act No. 5.1-15/59",1.0,The Samanids,,good,,text,coin
3950,2080347,AM N 40811:5,"Tallinn, Kesklinn, V. Kingissepa (Liivalaia) street",40811.0,movie,,street,street Liivalaia,,,,"Tallinn, Estonia",,,,,,black and white photography,negative format,24 x 36 mm,1,AM,,,,,N,5.0,,1.0,,1.0,,,good,,Received from Ivar Vilde's negative collection.,photo negative
3951,2423169,ETMM _ 8293 T 429:533/Ar,"Book: Oskar Luts, Äripäev, Pictures from Paunvere, ""Odamees"", Tartu 1924",429.0,paper,,fiction,,,,,,the author,"Luts, Oskar",,,,,volume of the book,lk,115,ETMM,_,8293.0,,,T,533.0,Ar,1.0,,1.0,,,good,,,book
3952,2298773,AM F 32966:15,Photo in the album,32966.0,photo material>photo paper>silver gelatin paper,,industry,,,,,,,,,,,photography>black and white photography,,,,AM,,,,,F,15.0,,1.0,"Obtained from the legacy of Viivi Glass, photo curator of the History Museum. The exact origin is unknown, unless otherwise stated in the museum legend.",1.0,,,good,,,photo
3953,2981790,ETMM _ 12715:325 Mo 253:1/11:49,"Photo Hando Põlluste, a student of the wind instrument department of the Tallinn Music School named after G. Otsa",253.0,photo paper,,music education,,1985,1989,ei,"Tallinn, Estonia",liaison organization,Georg Otsa nimeline Tallinna Muusikakool,,,,black and white photography,,,,ETMM,_,12715.0,325.0,,Mo,1.0,11:49,1.0,Completion of the Mo 253 collection with photos not represented in the G. Otsa school archive. The larger reception is related to the 95th anniversary celebrations of the G. Otsa school.,1.0,preserved 9,,good,,,photo
3954,2621345,,,,,,singing parties,,,,,Estonia,,,,,,,,,,ETMM,_,11098.0,,,Mo,1.0,11:01,1.0,,1.0,,,good,,,photo
3955,2803544,AM N 7675:3,"Tallinn, Harjumägi. Viktor Kingissepa memorial monument.",7675.0,movie,,memorials/monuments,region Harjumägi,,,,"Tallinn, Estonia",,,,,,black and white photography,negative format,60 x 95 mm,1,AM,,,,,N,3.0,,1.0,,1.0,,,good,,,photo negative
3956,4021097,ETMM _ 10331 M 21:2/86:2,"""But, according to him, rushed to wound"" voice with a piano accompaniment. Fragment",21.0,paper,,music,,,,,,,,,,,handwriting,,,,ETMM,_,10331.0,,,M,2.0,86:02:00,1.0,,1.0,,,satisfactory,,,"script, song/vocal music"
3957,3335109,ETMM _ 11457 M 159:1/592:14,"Program, Karl Leichter, Landesser Reval chamber music evening",159.0,paper,,culture,,06.03.1944,,ei,,contact person,"Leichter, Karl",,,,,,,,ETMM,_,11457.0,,,M,1.0,592:14:00,1.0,,1.0,,,satisfactory,,,plan
3958,427166,AM _ N 45042:40,"Basketball competition in the gymnasium of the ""Metallist"" factory.",45042.0,photographic material>emulsion>silver gelatin emulsion,,preparation,,,,,,the author,"Oksbusch, Uno",,,,photography>black and white photography,negative format,24 x 36 mm,1,AM,_,,,,N,40.0,,1.0,"A collection of negatives. Photographer unknown. Origin - found in the attic of a house near Pirgu manor in the 1970s. Material: 35 mm acetate film, cut into strips of 2 to 7 frames. 20 envelopes with thematic headings. Description: Views of Tallinn and Keila-Joa, industrial views, buildings, events in Tallinn, living conditions.

The Estonian History Museum grants the transferor the right to free use of photos taken of views of cinema buildings and interiors of Estonia before World War II in the museum's collections.",1.0,"The ""Metallist"" factory is a metal processing company operating since 1944. The factory, founded by German prisoners of war, was involved in the manufacture of sewer hatches. Until 1997, the factory was a state-owned enterprise. 1997. in 1998, the factory went under private ownership and was made into a joint-stock company.",,good,pink,Transferred by: Uno Kalle,photo negative
3959,3263587,,,,,,culture,,1917,,ei,,the author,"Usterjalow, N.",,,,,height,cm,"19,5",AM,,,,,R-,,,1.0,,1.0,,"yellowed, faded, missing back cover",satisfactory,,"N. Usterjalow, ""Mis on Asutaw Kogu?"", 1917. In edition 21 pp., paperback, paper covers",book
3960,3143290,ETMM _ 10734 T 7:2300/Ar,Night games,7.0,paper,,printing/ publishing,,,,,,liaison organization,Eesti NSV Kunstide Valitsus,,,,typing,print volume,lk,74,ETMM,_,10734.0,,,T,2300.0,Ar,1.0,,1.0,,,good,,,manuscript
3961,3335477,,,,,,theater,,1990,,ei,,liaison organization,VAT Teater,,,,,,,,ETMM,_,12779.0,45.0,,Df,,,1.0,photos obtained from VAT Theatre,1.0,,,good,,,digital image
3962,3408642,ETMM _ 11457 M 159:1/751,"Document, Karl Leichter, Collected material from the fraternal congregation and playing music in manors",159.0,paper,,culture,,,,,,contact person,"Leichter, Karl",,,,,,,,ETMM,_,11457.0,,,M,1.0,751,1.0,,1.0,,,satisfactory,,,document
3963,2391488,AM _ 13738:248-017 P 565,Tartu Roman Catholic parish seal,565.0,organic matter,Polish,<making/originating>,,1801,1900,ei,,,,,,,,diameter,cm,"4,5",AM,_,13738.0,248.0,17,P,,,1.0,Taught from the collection of the Estonian Society,1.0,,cracked,satisfactory,,Sigillum Rom-Katho. Dorpatensis ecclesiae,there/imprint
3964,4278080,,,,,,,,,,,,,,,,,,,,,ETMM,_,8540.0,,,Af,3.0,M,1.0,,1.0,,,good,,,poster
3965,2324237,AM _ 23957 A 510:435,Coin,510.0,silver,,,,,,,,,,,,,,,,,AM,_,23957.0,,,A,435.0,,1.0,Obtained during excavations led by Mati Mandel in 1979.,,,,good,,,archaeological find
3966,3511079,ETMM _ 7215 M 8:1/93:16,"Kava, Franz Erika, Yoshio Unno Violin Evening, Japan",8.0,paper,,culture,,04.10.1964,,ei,,contact person,"Franz, Erika",,,,,,,,ETMM,_,7215.0,,,M,1.0,93:16:00,1.0,,1.0,,,satisfactory,,,plan
3967,2512951,AM _ 21772:772 M,a denarius,,silver,,preparation,the city of Regensburg,1084,1106,,,the issuer,Heinrich IV,,,,,weight,g,"1,4",AM,_,21772.0,772.0,,M,,,1.0,,,coin hoards,,unspecified,,"Dbg. 1101 Var.; Hahn 1976, 60; cf. Leimus 1979, S. 74-76; Hatz 1988, S. 427 ff.",coin
3968,3920258,ETMM _ 6978 M 3:1/55:3,"Letter, Saha, Hillar, to Hans Jakob in Geneva from H. Saha",3.0,paper,,correspondence,,27.07.1937,,ei,,compiler,"Saha, Hillar",,,,,,,,ETMM,_,6978.0,,,M,1.0,55:03:00,1.0,,1.0,,,good,,,a letter
3969,1982067,,,,,,preparation,,1937,,ei,,,,,,,,,,,ETMM,_,4868.0,,,Fk,,kl,1.0,,1.0,,,satisfactory,,,photo negative
3970,3333078,ETMM _ 11457 M 159:1/590:5,"Program, Leichter Karl, Jenny Siimon's students' concert",159.0,paper,,culture,,15.03.1942,,ei,,contact person,"Leichter, Karl",,,,,,,,ETMM,_,11457.0,,,M,1.0,590:05:00,1.0,,1.0,,,satisfactory,,,plan
3971,2815666,,,,,,,,,,,,,,,,,,,,,AM,,,,,N,,,1.0,,0.0,,,good,,,photo negative
3972,3812894,ETMM _ 11433 M 112:1/51:61,"Foto, Klas, Eri - with Gidon Kremer in the Hall of the History Museum",112.0,photographic material,,filmmaking and photography,,1998,,ei,,,,,,,,,,,ETMM,_,11433.0,,,M,1.0,51:61,1.0,,1.0,,,satisfactory,,,photo
3973,3685776,ETMM _ 11449 T 416:2/61:8,"Costume design for the character Adeele in the production Raha kein tein gyres. Kõver, Liives, Kippel, Vanemuine 1978",416.0,paper,,theater performances,,1978,,ei,,liaison organization,Teater Vanemuine,,,,felt tip pen,,,,ETMM,_,11449.0,,,T,2.0,61:08:00,1.0,,1.0,,,good,,,design/drawing/sketch
3974,4086729,ETMM _ Fk 43003/r,"Strange Miss Savage, Russian Drama Theater, 1967, in the picture: a scene from the performance",43003.0,photographic material,,theater,,1967,,ei,,liaison organization,ENSV Riiklik Vene Draamateater,,,,,film frame,60 x 60 mm,1,ETMM,_,,,,Fk,,r,1.0,,1.0,TB130321,,satisfactory,,,photo negative
3975,221161,,,,,,ballet,,1981,,ei,,liaison organization,Teater Vanemuine,,,,black and white photography,,,,ETMM,_,11806.0,457.0,,T,2.0,201:04:00,1.0,,1.0,1977,,good,black and white,1977,photo
3976,2048128,AM F 26041:5,Reprophoto of the drawing. Paldiski view.,26041.0,silver gelatin paper,,copying (making),,,,,,photographer,"Talivee, Enno",,,,black and white photography,width,cm,"13,2",AM,,,,,F,5.0,,1.0,,0.0,,,good,,"According to Odres (Lembit Odres (1989) Archives of the Vana Paldiski Heritage Preservation Board ERA.5025.2.6501 & book 100 pictures (2003), photo 39), the drawing is from a jar of shards produced in Paldiski. Indication that the original sketch was made by Aleksander Promet (he worked as an art teacher in Paldiski in 1924-1925, because by that time the tinplate industry closed and the fragments were in smaller dishes or smoked, so it is unlikely that he is the author)
/Tiina Peil 2020/",photo
3977,2515439,,,,,,,,,,,,,,,,,,,,,AM,_,4356.0,65.0,,F,,,1.0,,1.0,,,good,,,photo
3978,4089357,ETMM _ Fk 38744/r,"in the picture: The mixed choir of the Tallinn Branch of the International Estonian Youth Association performing, directed by Gustav Ernesaks",38744.0,photographic material,,music,,,,,,contact person,"Ernesaks, Gustav",,,,,film frame,60 x 60 mm,1,ETMM,_,,,,Fk,,r,1.0,,1.0,TB100321,,satisfactory,,,photo negative
3979,3574618,ETMM _ 5429 T 49:1/12:15,"Excerpt from the press about P. Pinna in the play Madame Sans Gene, 1915",49.0,paper,,theater,,1915,,ei,,liaison organization,Teater Estonia,,,,typing,document volume,leht,1,ETMM,_,5429.0,,,T,1.0,12:15,1.0,,1.0,,,good,,,document
3980,4125357,ETMM _ 10333 M 47:1/99:9,"Photo. Els Avesson as escort in ""Estonia"" 1940?",47.0,paper,,,,,,,,,,,,,,,,,ETMM,_,10333.0,,,M,1.0,99:09:00,1.0,,1.0,,,good,,,photo
3981,2770912,AM N 13313:1,Director of Tammik 7th grade school Johannes Parm,13313.0,silver gelatin emulsion,,portraiture,,,,,Estonia,,,,,,black and white photography,negative format,24 x 36 mm,1,AM,,,,,N,1.0,,1.0,,1.0,,,good,,,photo negative
3982,2660020,AM _ 12764:13 F 15228,Pankrannik in Rannamõisa,15228.0,paper,,beaches/coasts,,,,,Estonian Rannamõisa,,,,,,printing,width,cm,"13,9",AM,_,12764.0,13.0,,F,,,1.0,,1.0,,,good,,DIOR AMA,"photo, postcard"
3983,3449677,AM _ 1609:1 F154 6:500,"Tallinn City Labor People's Council of Deputies elections. Biographies of parliamentary candidates. Kaasik, Helmi Ado t.",6.0,paper,,elections,,1948,,ei,"Tallinn, Estonia",,,,,,,height,cm,30,AM,_,1609.0,1.0,,F154,500.0,,1.0,,1.0,,,good,,,poster
